6,NAME THE IDEAL AGE FOR A US PRESIDENT,91,40,18,14,9,7,3,,,,,,,50,45,55,60,40,35,,,,,
6,NAME SOMETHING THAT MELTS,98,46,34,7,6,3,2,,,,,,,ICE+CREAM,BUTTER,CHEESE,SNOW*,WAX/CANDLE,CHOCOLATE,,,,,
6,NAME SOMETHING YOU EAT THAT'S RED,90,28,23,14,14,6,5,,,,,,,APPLE,TOMATO,CHERRY,BEETS,(CATS/KETCH)UP,JELLO/GELATIN,,,,,
8,HOW MANY YEARS DOES A WRISTWATCH LAST,100,32,30,12,11,7,4,2,2,,,,,10,5,3,2,4,20,6,1,,,
10,NAME AN UNUSUAL PET,92,39,17,13,6,4,3,3,3,2,2,,,SNAKE,SKUNK,MONKEY/CHIMP,[ALlI]GATOR/CROCODILE,TARANTULA,RACCOON,OCELOT,LION,BEAR,ROCK,
11,HOW MANY YEARS DOES A DOG LIVE,97,26,22,20,8,5,4,3,3,2,2,2,,10,15,12,14,8,11,20,7,13,5,3
8,NAME A FLAVOR OF HARD CANDY,97,35,25,16,12,3,2,2,2,,,,,[PEPPER]MINT,CHERRY,LEMON,BUT[[']/TE]RSCOTCH,GRAPE,CHOCOLATE,CINNAMON,(ROOT/BIRCH)+BEER,,,
6,NAME A VEHICLE WITH VERY LARGE WHEELS,93,44,26,9,6,4,4,,,,,,,TRACTOR,TRUCK,BULLDOZER,[AIR]PLANE,BUS,[DUNE+]BUGGY,,,,,
6,NAME SOMETHING A ROOF IS MADE OF,96,45,29,10,6,4,2,,,,,,,SHINGLES/WOOD,ASPHALT/TAR,SLATE,TILE,TIN,ASBESTOS,,,,,
4,"NAME SOMETHING PEOPLE WEAR THAT BEGINS WITH THE LETTER ""S""",97,33,32,24,8,,,,,,,,,SHIRT,SHOEs,SWEATER,SO(CKs/X),,,,,,,
10,NAME THE CARD GAME YOU PLAY BEST,94,26,20,14,7,7,6,6,3,3,2,,,POKER,GIN[+RUMMY]/RUMMY,BRIDGE,PINOCHLE,UNO,BLACKJACK/TWENTY+ONE,CANASTA,CRIBBAGE,SOLITAIRE/PATIENCE,HeARTS,
9,NAME A FABRIC MEN'S SUITS ARE MADE OF,94,37,27,9,5,5,4,3,2,2,,,,WOOL,POLYESTER,TWEED,GABARDINE,SILK,COTTON,FLANNEL,MOHAIR,SERGE,,
11,NAME A FOOD THAT TASTES TERRIBLE COLD,88,16,15,15,13,9,6,5,3,2,2,2,,POTATO[ES],EGGs,SOUP,PIZZA,SPAGHETTI,OATMEAL,STEAK,[HAM]BURGERs,CHILI,COFFEE,GRAVY
7,NAME THE SPEED IN MPH AT WHICH YOU DRIVE ON DESERTED HIGHWAYS,98,30,24,20,9,9,4,2,,,,,,65,70,60,55,80,75,85,,,,
8,NAME A TYPE OF STORE THAT DELIVERS,97,26,22,16,11,8,7,4,3,,,,,FURNITURE,DRUG/PHARMACY,GROCERY/[SUPER+]MARKET,PIZZA,DEPARTMENT,FLO(RIST/WER[+SHOP]),[DRY+]CLEANERs,APPLIANCE,,,
5,NAME A HOLIDAY WHEN YOU EAT TOO MANY SWEETS,100,59,25,9,5,2,,,,,,,,(CHRIST/X+)MAS,EASTER,HALLOWEEN,VALENTINE[[']S][+DAY],THANKSGIVING,,,,,,
7,NAME THE MOST POPULAR BREED OF DOG,93,39,37,7,4,2,2,2,,,,,,[FRENCH+]POODLE,[GER[MAN]+]SHEPHERD,COLLIE,[COCKER+]SPANIEL,DALMATIAN,S[AIN]T+BERNARD,SCOT(TIE/CH+TERRIER),,,,
6,NAME SOMETHING THAT MAKES A LOUD BANG,98,43,41,4,4,4,2,,,,,,,GUN/CANNON/PISTOL/RIFLE,FIRE(WORKS/CRACKER),[AIR]PLANE/SONIC+BOOM,BALLOON[+BURST[ING]],BACKFIRE/CAR/AUTO*,THUNDER,,,,,
7,NAME A FOREIGN MONEY,94,23,22,16,12,8,8,5,,,,,,PESO,FRANC,MARK,LIRA,POUND,SHILLING,PESETA,,,,
11,NAME A CITY WITH A PRO BASKETBALL TEAM,95,39,15,11,8,5,4,3,3,3,2,2,,LOS+ANGELES/LA,NEW+YORK/NY,PHILA[DELPHIA],BOSTON,CHICAGO,KANSAS+CITY/KC,ATLANTA,FRISCO/SAN+FRANCISCO,SEATTLE,HOUSTON,S[AIN]T+LOUIS
8,NAME SOMETHING MADE OF RUBBER,93,59,12,8,6,2,2,2,2,,,,,TIRE,BALL,[RUBBER+]BAND,BOOTS/GALOSHES,ELASTIC,GLOVES,HOSE,NIPPLES,,,
11,NAME A FOOD SERVED WITH TEA,93,24,21,15,10,5,4,3,3,3,3,2,,COOKIEs,CRUMPETs,CAKEs,TOAST,CRACKERs,SANDWICH,BISCUITs,CHICKEN,DO[UGH]NUTs,LEMON,CHOW+MEIN/CHINESE
8,NAME THE AGE WHEN GIRLS START KEEPING DIARIES,99,31,28,12,9,7,5,5,2,,,,,12,13,10,14,15,11,16,9,,,
